Input Name,Best Match,Match Score,Is Match,Match Category
Ngwe Pin Le (Silver Sea) Livestock Breeding and Fishery Co.,"SALEH AL-SAADI, Nassim Ben Mohamed Al-Cherif ben Mohamed",36.52173913043478,False,Weak Match
Pavo Trading Pte. Ltd.,"LY, Yong Phat",45.714285714285715,False,Weak Match
Rothman of Pall Mall Burma Private Ltd.,"SHARIF, Niamat Hama Rahim Hama",40.57971014492754,False,Weak Match
Sin Min (King Elephants) Cement Factory (Kyaukse),"DRISSI, Noureddine Ben Ali Ben Belkassem",35.95505617977528,False,Weak Match
Dagon Brewery,"BASEVIC, Dragan",42.85714285714286,False,Weak Match
Soap Factory (Paung),"SOE, Maung Maung",44.44444444444444,False,Weak Match
The First Automotive Co. Ltd.,AL FOULK TRADING CO. L.L.C,40.0,False,Weak Match
Union of Burma Economic Holding Ltd.,"STRUKOV, Konstantin Ivanovich",40.0,False,Weak Match
Yuzana Company Limited,"LI, Cheng Yu",41.17647058823529,False,Weak Match
Zay Gabar Company,"KOZAK, Taras Romanovych",44.99999999999999,False,Weak Match
Granite Tile Factory (Kyaikto),"GOETZ, Alain Francois Viviane",40.67796610169492,False,Weak Match
Myanmar Directorate of Defence Industries,"CUSPERT, Denis Mamadou",38.095238095238095,False,Weak Match
Hantha Waddy Golf Resort and Myodaw (City) Club Ltd.,"JEDI, Muhammad Wanndy Bin Mohamed",37.64705882352941,False,Weak Match
Yatanarpon Aviation Support Company Limited,"GIGEL, Tatyana Anatolyevna",40.57971014492754,False,Weak Match
Htoo Furniture,"TAY ZA, Htoo Htet",45.16129032258065,False,Weak Match
Innwa Bank,"XIA, Baolong",45.45454545454546,False,Weak Match
Than Shwe,"OO, Than",58.82352941176471,False,Weak Match
Tin Lin Myint,"LATT, Tun Min",61.53846153846154,False,Partial Match
Aung Htwe,"HLA, Aung",66.66666666666667,False,Partial Match
Maung Bo,"KO, Maung",70.58823529411764,False,Partial Match
Tin Naing Thein,"THET, Naing Win",66.66666666666667,False,Partial Match
Saw Tun,"OO, Mya Tun",55.55555555555556,False,Weak Match
Chan Nyein,"MAUNG, Mahn Nyein",59.25925925925925,False,Weak Match
Zaw Min,"TUN, Zaw Min",73.6842105263158,False,Partial Match
Lun Thi,"DALIPI, Tahir",50.0,False,Weak Match
Hla Tun,"OO, Mya Tun",55.55555555555556,False,Weak Match
Nyan Win,"THET, Naing Win",60.86956521739131,False,Partial Match
Maung Aye,"KO, Maung",66.66666666666667,False,Partial Match
Kyaw Myint,"OO, Kyaw Min",72.72727272727273,False,Partial Match
Maung Oo,"SOE, Khin Maung",60.86956521739131,False,Partial Match
Saw Lwin,"OO, Saw Myint",57.14285714285714,False,Weak Match
Soe Tha,"OO, Than",53.333333333333336,False,Weak Match
Thaung,"HTET, Kaung",58.82352941176471,False,Weak Match
Thein Zaw,"ZAW, Thein Win",60.86956521739131,False,Partial Match
Kyaw Thu,"OO, Mya Tun",52.63157894736843,False,Weak Match
Mya Oo,"OO, Mya Tun",58.82352941176471,False,Weak Match
Hsan Hsint,"HEMSI, Hosein",52.17391304347826,False,Weak Match
Khin Lay Thet,"WIN, Thet Khaing",62.06896551724138,False,Partial Match
Than Sein,"OO, Than",58.82352941176471,False,Weak Match
Thidar Zaw,"OO, Thida",52.63157894736843,False,Weak Match
Thiha,"OO, Thida",57.14285714285714,False,Weak Match
Khin Shwe,"WIN, Thet Khaing",56.00000000000001,False,Weak Match
